UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,SaatTag_DOY,SaatTag_Date,Total_N_fert_kg_ha,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha,t2,t1,Nmin_Total,Delta_Nmin,Cum_Precip_mm,Cum_GDD_Interval,Cum_GDD_t1,Cum_GDD_t2,N_up_t1,N_up_t2,Interval_N_Entzug_kg_ha,LTE,date,year,plot_nr,treatment,crop,rep,Ntot,delta_nmin,yield,yield_type,yield_unit
2025_13,2025,13,A,2025-08-07,0,7.4247,13.1707,44.7391,2.4673,NA,0,0.59,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-08-07,2025-07-10,0.59,-0.030000000000000027,162.4,337.8,763,1100.8,62.228112513780054,113.77807899319237,51.54996647941231,DEMO,2025-08-07,2025,13,"St,mist",NA,A,0.59,-0.030000000000000027,NA,total_hp_ts,kg/a
2025_13,2025,13,A,2025-09-11,5.951,10.0913,27.1563,88.2026,15.7574,NA,0.4,0.28,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-09-11,2025-08-07,0.68,0.09000000000000008,173.4,451.6,1100.8,1552.4,113.77807899319237,115.46034809422706,1.6822691010346915,DEMO,2025-09-11,2025,13,"St,mist",NA,A,0.68,0.09000000000000008,NA,total_hp_ts,kg/a
2025_13,2025,13,B,2025-05-15,0,2.6427,16.3035,35.9019,2.1273,NA,0.17,2.41,0.63,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-05-15,2025-05-09,2.58,NA,1.9,45.2,0,45.2,0.014248118245849975,0.02450644119355045,0.010258322947700476,DEMO,2025-05-15,2025,13,"St,mist",NA,B,2.58,NA,NA,total_hp_ts,kg/a
2025_13,2025,13,B,2025-06-12,1.5324,4.4244,20.1468,51.3947,6.0289,Well D2_NAG is contaminated.,0,1.45,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-06-12,2025-05-15,1.45,-1.1300000000000001,130.6,267.7,45.2,312.90000000000003,0.02450644119355045,0.6056421696787939,0.5811357284852434,DEMO,2025-06-12,2025,13,"St,mist",NA,B,1.45,-1.1300000000000001,NA,total_hp_ts,kg/a
2025_13,2025,13,B,2025-07-10,0,2.0654,8.5395,50.9128,1.9996,NA,0,1.13,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-07-10,2025-06-12,1.13,-0.32000000000000006,64.3,450.1,312.90000000000003,763,0.6056421696787939,62.228112513780054,61.62247034410126,DEMO,2025-07-10,2025,13,"St,mist",NA,B,1.13,-0.32000000000000006,NA,total_hp_ts,kg/a
2025_13,2025,13,B,2025-08-07,0,6.8318,21.2951,75.4369,6.93,NA,0.02,0.26,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-08-07,2025-07-10,0.28,-0.8499999999999999,162.4,337.8,763,1100.8,62.228112513780054,113.77807899319237,51.54996647941231,DEMO,2025-08-07,2025,13,"St,mist",NA,B,0.28,-0.8499999999999999,NA,total_hp_ts,kg/a
2025_13,2025,13,B,2025-09-11,5.6556,9.5001,31.5641,89.8099,15.4049,NA,0.3,0.38,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-09-11,2025-08-07,0.6799999999999999,0.3999999999999999,173.4,451.6,1100.8,1552.4,113.77807899319237,115.46034809422706,1.6822691010346915,DEMO,2025-09-11,2025,13,"St,mist",NA,B,0.6799999999999999,0.3999999999999999,NA,total_hp_ts,kg/a
2025_15,2025,15,A,2025-05-15,0,4.2676,24.1764,30.1728,2.4477,NA,0.17,1.53,4.03,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-05-15,2025-05-09,1.7,NA,1.9,45.2,0,45.2,0.019201322303888303,0.03302584016775025,0.013824517863861949,DEMO,2025-05-15,2025,15,NPK,NA,A,1.7,NA,NA,total_hp_ts,kg/a
2025_15,2025,15,A,2025-06-12,0,7.9393,25.6497,34.0215,2.8416,NA,0.18,2.59,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-06-12,2025-05-15,2.77,1.07,130.6,267.7,45.2,312.90000000000003,0.03302584016775025,0.816187113285358,0.7831612731176077,DEMO,2025-06-12,2025,15,NPK,NA,A,2.77,1.07,NA,total_hp_ts,kg/a
2025_15,2025,15,A,2025-07-10,0,6.8771,22.3655,44.4758,5.4316,NA,1.15,3.89,NA,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,NA,NA,2025-07-10,2025-06-12,5.04,2.27,64.3,450.1,312.90000000000003,763,0.816187113285358,83.86104214763526,83.04485503434991,DEMO,2025-07-10,2025,15,NPK,NA,A,5.04,2.27,NA,total_hp_ts,kg/a
