BOB,ID,Site,Crop,Year,PLZ,Date,Treatment,Depth,Rep,LAP,NAG,GLS,MUP,MUX,date,year,plot_nr,crop,treatment,depth,rep,NH4,NO3,Ntot,yield,yield_type,yield_unit,LTE
BOB_05,700KM258617T3empfohlen30,700,KM,25,8617,T3,empfohlen,30,NA,NA,54.252,185.608,635.415,64.873,T3,25,700,KM,empfohlen,30,NA,1,13.2,71.7,NA,silo,dt/ha,Fields25
BOB_05,700KM258617T3empfohlen60,700,KM,25,8617,T3,empfohlen,60,NA,NA,21.269,NA,237.571,44.925,T3,25,700,KM,empfohlen,60,NA,2,3.8,71.7,NA,silo,dt/ha,Fields25
BOB_06,700KM258617T3null30,700,KM,25,8617,T3,null,30,NA,NA,30.685,183.747,711.219,36.266,T3,25,700,KM,null,30,NA,0.4,13.9,70.2,NA,NA,NA,Fields25
BOB_06,700KM258617T3ueblich60,700,KM,25,8617,T3,ueblich,60,NA,NA,NA,235.782,479.668,56.631,T3,25,700,KM,ueblich,60,NA,1.9,5.4,82.8,NA,silo,dt/ha,Fields25
BOB_09,700KM258617T3null60,700,KM,25,8617,T3,null,60,NA,NA,56.655,191.041,434.583,86.422,T3,25,700,KM,null,60,NA,1,4.3,70.2,NA,NA,NA,Fields25
BOB_09,700KM258617T3ueblich30,700,KM,25,8617,T3,ueblich,30,NA,NA,37.206,161.653,509.695,35.759,T3,25,700,KM,ueblich,30,NA,0.7,15.3,82.8,NA,silo,dt/ha,Fields25
BOB_05,701SM251485T1null30,701,SM,25,1485,T1,null,30,NA,NA,114.369,37.042,791.843,100.529,T1,25,701,SM,null,30,NA,0.3,3.3,54.6,NA,NA,NA,Fields25
BOB_05,701SM251485T1ueblich60,701,SM,25,1485,T1,ueblich,60,NA,NA,45.637,102.897,524.233,21.683,T1,25,701,SM,ueblich,60,NA,0.3,4.3,68.5,169.2,silo,dt/ha,Fields25
BOB_06,701SM251485T1empfohlen30,701,SM,25,1485,T1,empfohlen,30,NA,NA,172.365,450.673,717.938,73.607,T1,25,701,SM,empfohlen,30,NA,1,16.2,90.5,167.8,silo,dt/ha,Fields25
BOB_06,701SM251485T1null60,701,SM,25,1485,T1,null,60,NA,NA,68.245,9.468,497.197,46.394,T1,25,701,SM,null,60,NA,0.1,1.5,54.6,NA,NA,NA,Fields25
BOB_09,701SM251485T1empfohlen60,701,SM,25,1485,T1,empfohlen,60,NA,NA,103.747,11.567,623.604,118.223,T1,25,701,SM,empfohlen,60,NA,0.3,4.6,90.5,167.8,silo,dt/ha,Fields25
BOB_09,701SM251485T1ueblich30,701,SM,25,1485,T1,ueblich,30,NA,NA,23.974,511.144,NA,74.742,T1,25,701,SM,ueblich,30,NA,0.1,1.1,68.5,169.2,silo,dt/ha,Fields25
BOB_05,701SM251485T2null30,701,SM,25,1485,T2,null,30,NA,NA,90.588,365.506,NA,50.684,T2,25,701,SM,null,30,NA,0.8,6.1,56.7,NA,NA,NA,Fields25
BOB_05,701SM251485T2ueblich60,701,SM,25,1485,T2,ueblich,60,NA,NA,65.811,151.857,709.785,33.379,T2,25,701,SM,ueblich,60,NA,0.4,7.3,148.2,169.2,silo,dt/ha,Fields25
BOB_06,701SM251485T2empfohlen30,701,SM,25,1485,T2,empfohlen,30,NA,NA,97.546,291.725,875.278,54.517,T2,25,701,SM,empfohlen,30,NA,1.3,18.4,130,167.8,silo,dt/ha,Fields25
BOB_06,701SM251485T2null60,701,SM,25,1485,T2,null,60,NA,NA,42.121,149.755,642.286,26.908,T2,25,701,SM,null,60,NA,0.7,3.7,56.7,NA,NA,NA,Fields25
BOB_09,701SM251485T2empfohlen60,701,SM,25,1485,T2,empfohlen,60,NA,NA,51.972,204.087,651.145,2.496,T2,25,701,SM,empfohlen,60,NA,0.5,8.5,130,167.8,silo,dt/ha,Fields25
BOB_09,701SM251485T2ueblich30,701,SM,25,1485,T2,ueblich,30,NA,NA,122.769,386.047,912.077,49.976,T2,25,701,SM,ueblich,30,NA,1.8,23.4,148.2,169.2,silo,dt/ha,Fields25
BOB_05,701SM251485T3null30,701,SM,25,1485,T3,null,30,NA,NA,109.292,498.447,986.052,48.834,T3,25,701,SM,null,30,NA,2.6,2.4,22.6,NA,NA,NA,Fields25
BOB_05,701SM251485T3ueblich30,701,SM,25,1485,T3,ueblich,30,NA,NA,91.234,279.351,90.397,47.898,T3,25,701,SM,ueblich,30,NA,1.9,5.3,33.3,169.2,silo,dt/ha,Fields25
BOB_06,701SM251485T3empfohlen60,701,SM,25,1485,T3,empfohlen,60,NA,NA,42.694,146.124,719.673,33.255,T3,25,701,SM,empfohlen,60,NA,0.5,0.6,32.8,167.8,silo,dt/ha,Fields25
BOB_06,701SM251485T3ueblich60,701,SM,25,1485,T3,ueblich,60,NA,NA,32.585,120.584,680.467,22.759,T3,25,701,SM,ueblich,60,NA,0.4,0.9,33.3,169.2,silo,dt/ha,Fields25
BOB_09,701SM251485T3empfohlen30,701,SM,25,1485,T3,empfohlen,30,NA,NA,7.246,338.774,85.3,38.702,T3,25,701,SM,empfohlen,30,NA,2.4,4.9,32.8,167.8,silo,dt/ha,Fields25
BOB_09,701SM251485T3null60,701,SM,25,1485,T3,null,60,NA,NA,34.243,72.965,450.727,17.484,T3,25,701,SM,null,60,NA,0.6,0,22.6,NA,NA,NA,Fields25
BOB_05,702SM251725T1null30,702,SM,25,1725,T1,null,30,NA,NA,NA,NA,NA,NA,T1,25,702,SM,null,30,NA,0.6,11.9,73.2,NA,NA,NA,Fields25
BOB_05,702SM251725T1ueblich60,702,SM,25,1725,T1,ueblich,60,NA,NA,6.176,135.366,545.154,44.024,T1,25,702,SM,ueblich,60,NA,0.2,4.9,137.6,208.6,silo,dt/ha,Fields25
BOB_06,702SM251725T1empfohlen30,702,SM,25,1725,T1,empfohlen,30,NA,NA,NA,NA,NA,NA,T1,25,702,SM,empfohlen,30,NA,7,18.9,117.7,160.7,silo,dt/ha,Fields25
BOB_06,702SM251725T1null60,702,SM,25,1725,T1,null,60,NA,NA,90.209,411.716,558.644,55.742,T1,25,702,SM,null,60,NA,0.3,5.1,73.2,NA,NA,NA,Fields25
BOB_09,702SM251725T1empfohlen60,702,SM,25,1725,T1,empfohlen,60,NA,NA,76.178,132.988,556.287,44.751,T1,25,702,SM,empfohlen,60,NA,0.2,4.3,117.7,160.7,silo,dt/ha,Fields25
BOB_09,702SM251725T1ueblich30,702,SM,25,1725,T1,ueblich,30,NA,NA,21.015,605.899,NA,107.929,T1,25,702,SM,ueblich,30,NA,6.6,23.2,137.6,208.6,silo,dt/ha,Fields25
BOB_05,702SM251725T2null30,702,SM,25,1725,T2,null,30,NA,NA,177.115,497.342,895.919,65.501,T2,25,702,SM,null,30,NA,1.4,10.9,92.7,NA,NA,NA,Fields25
BOB_05,702SM251725T2ueblich60,702,SM,25,1725,T2,ueblich,60,NA,NA,56.635,193.609,668.092,46.715,T2,25,702,SM,ueblich,60,NA,0.4,9.8,113.5,208.6,silo,dt/ha,Fields25
BOB_06,702SM251725T2empfohlen30,702,SM,25,1725,T2,empfohlen,30,NA,NA,181.438,578.676,869.434,112.842,T2,25,702,SM,empfohlen,30,NA,1.2,15.6,121.9,160.7,silo,dt/ha,Fields25
BOB_06,702SM251725T2null60,702,SM,25,1725,T2,null,60,NA,NA,66.002,218.521,480.613,49.416,T2,25,702,SM,null,60,NA,0.5,6,92.7,NA,NA,NA,Fields25
BOB_09,702SM251725T2empfohlen60,702,SM,25,1725,T2,empfohlen,60,NA,NA,83.216,303.166,530.017,54.469,T2,25,702,SM,empfohlen,60,NA,0.3,11.1,121.9,160.7,silo,dt/ha,Fields25
BOB_09,702SM251725T2ueblich30,702,SM,25,1725,T2,ueblich,30,NA,NA,122.507,329.837,759.465,249.969,T2,25,702,SM,ueblich,30,NA,1.8,10.9,113.5,208.6,silo,dt/ha,Fields25
BOB_05,702SM251725T3null30,702,SM,25,1725,T3,null,30,NA,NA,112.392,324.967,928.174,85.324,T3,25,702,SM,null,30,NA,3.3,8,48.4,NA,NA,NA,Fields25
BOB_05,702SM251725T3ueblich60,702,SM,25,1725,T3,ueblich,60,NA,NA,42.604,90.745,331.974,26.224,T3,25,702,SM,ueblich,60,NA,0.4,1.8,59.9,208.6,silo,dt/ha,Fields25
BOB_06,702SM251725T3empfohlen30,702,SM,25,1725,T3,empfohlen,30,NA,NA,153.001,503.106,NA,71.268,T3,25,702,SM,empfohlen,30,NA,2.5,6.6,35.8,160.7,silo,dt/ha,Fields25
BOB_06,702SM251725T3null60,702,SM,25,1725,T3,null,60,NA,NA,63.468,150.533,431.568,26.718,T3,25,702,SM,null,60,NA,0.3,0.6,48.4,NA,NA,NA,Fields25
BOB_09,702SM251725T3empfohlen60,702,SM,25,1725,T3,empfohlen,60,NA,NA,61.074,154.839,638.802,83.311,T3,25,702,SM,empfohlen,60,NA,0.3,0,35.8,160.7,silo,dt/ha,Fields25
BOB_09,702SM251725T3ueblich30,702,SM,25,1725,T3,ueblich,30,NA,NA,128.521,27.603,993.067,64.362,T3,25,702,SM,ueblich,30,NA,0.7,1.4,59.9,208.6,silo,dt/ha,Fields25
BOB_05,703SM258356T2null30,703,SM,25,8356,T2,null,30,NA,NA,78.445,299.996,508.625,92.493,T2,25,703,SM,null,30,NA,0.4,17.4,97.7,NA,NA,NA,Fields25
BOB_05,703SM258356T2empfohlen30,703,SM,25,8356,T2,empfohlen,30,NA,94.622,123.039,580.114,496.726,95.069,T2,25,703,SM,empfohlen,30,NA,0.9,16.5,105.8,197.6,silo,dt/ha,Fields25
BOB_05,703SM258356T2ueblich60_naechsterTag,703,SM,25,8356,T2,ueblich,60,naechsterTag,NA,42.629,357.276,815.995,43.068,T2,25,703,SM,ueblich,60,naechsterTag,0.4,8.3,108.4,186,silo,dt/ha,Fields25
BOB_06,703SM258356T2empfohlen60,703,SM,25,8356,T2,empfohlen,60,NA,153.458,83.851,282.411,633.426,47.859,T2,25,703,SM,empfohlen,60,NA,0.5,6.2,105.8,197.6,silo,dt/ha,Fields25
BOB_06,703SM258356T2ueblich60_ersterVersuch,703,SM,25,8356,T2,ueblich,60,ersterVersuch,NA,5.807,240.514,NA,31.506,T2,25,703,SM,ueblich,60,ersterVersuch,0.4,8.3,108.4,186,silo,dt/ha,Fields25
BOB_09,703SM258356T2null60,703,SM,25,8356,T2,null,60,NA,212.406,66.621,223.401,429.674,60.863,T2,25,703,SM,null,60,NA,0.4,6.5,97.7,NA,NA,NA,Fields25
BOB_09,703SM258356T2ueblich30,703,SM,25,8356,T2,ueblich,30,NA,157.644,152.789,579.297,964.763,121.055,T2,25,703,SM,ueblich,30,NA,0.4,17.2,108.4,186,silo,dt/ha,Fields25
BOB_05,703SM258356T3empfohlen60,703,SM,25,8356,T3,empfohlen,60,NA,NA,118.554,186.753,9.241,32.624,T3,25,703,SM,empfohlen,60,NA,NA,NA,NA,197.6,silo,dt/ha,Fields25
BOB_05,703SM258356T3ueblich60,703,SM,25,8356,T3,ueblich,60,NA,NA,21.963,112.123,282.899,NA,T3,25,703,SM,ueblich,60,NA,NA,NA,NA,186,silo,dt/ha,Fields25
BOB_06,703SM258356T3empfohlen30,703,SM,25,8356,T3,empfohlen,30,NA,NA,75.377,303.933,612.887,36.888,T3,25,703,SM,empfohlen,30,NA,NA,NA,NA,197.6,silo,dt/ha,Fields25
BOB_06,703SM258356T3null60,703,SM,25,8356,T3,null,60,NA,NA,27.377,122.918,148.665,26.611,T3,25,703,SM,null,60,NA,NA,NA,NA,NA,NA,NA,Fields25
BOB_09,703SM258356T3null30,703,SM,25,8356,T3,null,30,NA,NA,80.013,398.965,127.964,24.493,T3,25,703,SM,null,30,NA,NA,NA,NA,NA,NA,NA,Fields25
BOB_09,703SM258356T3ueblich30,703,SM,25,8356,T3,ueblich,30,NA,125.221,9.164,146.562,967.005,69.031,T3,25,703,SM,ueblich,30,NA,NA,NA,NA,186,silo,dt/ha,Fields25
BOB_05,704SM258472T1null30,704,SM,25,8472,T1,null,30,NA,NA,54.684,312.176,660.184,57.564,T1,25,704,SM,null,30,NA,0.7,16,109.4,NA,NA,NA,Fields25
BOB_05,704SM258472T1ueblich60,704,SM,25,8472,T1,ueblich,60,NA,NA,21.219,116.406,226.777,16.424,T1,25,704,SM,ueblich,60,NA,1.3,7.3,104.6,182.3,silo,dt/ha,Fields25
BOB_06,704SM258472T1empfohlen30,704,SM,25,8472,T1,empfohlen,30,NA,NA,138.142,200.346,480.279,30.853,T1,25,704,SM,empfohlen,30,NA,1.6,12.4,90.3,NA,NA,NA,Fields25
BOB_06,704SM258472T1null60,704,SM,25,8472,T1,null,60,NA,NA,NA,70.591,346.344,17.216,T1,25,704,SM,null,60,NA,1.6,7,109.4,NA,NA,NA,Fields25
BOB_09,704SM258472T1empfohlen60,704,SM,25,8472,T1,empfohlen,60,NA,NA,22.353,97.007,41.458,17.502,T1,25,704,SM,empfohlen,60,NA,2,5.9,90.3,NA,NA,NA,Fields25
BOB_09,704SM258472T1ueblich30,704,SM,25,8472,T1,ueblich,30,NA,NA,61.646,21.844,56.103,36.353,T1,25,704,SM,ueblich,30,NA,0.7,14.6,104.6,182.3,silo,dt/ha,Fields25
