project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
BOB_05- 703SM258356T2null30cm;<DL;78.445;299.996;508.625;92.493;
BOB_05-703SM258356T2empfohlen30cm;94.622;123.039;580.114;496.726;95.069;
BOB_05-703SM258356T2ueblich60cm_naechster Tag;<DL;42.629;357.276;815.995;43.068;
BOB_06- 703SM258356T2empfohlen60cm;153.458;83.851;282.411;633.426;47.859;
BOB_06- 703SM258356T2ueblich60cm_erster Versuch;<DL;5.807;240.514;1.035.825;31.506;
BOB_09- 703SM258356T2 703SM258356T2null60;212.406;66.621;223.401;429.674;60.863;
BOB_09- 703SM258356T2ueblich30cm;157.644;152.789;579.297;964.763;121.055;
BOB_05-703SM258356T3empfohlen60cm;<DL;118.554;186.753;9.241;32.624;
BOB_05-703SM258356T3ueblich60cm;<DL;21.963;112.123;282.899;<DL;
BOB_06-703SM258356T3empfohlen30cm;<DL;75.377;303.933;612.887;36.888;
BOB_06-703SM258356T3null60cm;<DL;27.377;122.918;148.665;26.611;
BOB_09-703SM258356T3null30cm;<DL;80.013;398.965;127.964;24.493;
BOB_09-703SM258356T3ueblich30cm;125.221;9.164;146.562;967.005;69.031;
BOB_05-704SM258472T1null30cm;<DL;54.684;312.176;660.184;57.564;
BOB_05-704SM258472T1ueblich60cm;<DL;21.219;116.406;226.777;16.424;
BOB_06-704SM258472T1empfohlen30cm;<DL;138.142;200.346;480.279;30.853;
BOB_06-704SM258472T1null60cm;<DL;<DL;70.591;346.344;17.216;
BOB_09-704SM258472T1empfohlen60cm;<DL;22.353;97.007;41.458;17.502;
BOB_09-704SM258472T1ueblich30cm;<DL;61.646;21.844;56.103;36.353;
BOB_05-704SM258472T2null30cm;74.533;7.897;268.274;515.401;49.646;
BOB_05-704SM258472T2ueblich60cm;120.629;31.548;145.338;42.451;Mär 98;
BOB_06-704SM258472T2empfohlen30cm;78.247;63.714;442.702;641.113;71.366;
BOB_06-704SM258472T2ueblich30cm;<DL;50.452;261.396;597.063;44.769;
BOB_09-704SM258472T2empfohlen60cm;111.952;51.678;162.451;370.437;117.099;
BOB_09-704SM258472T2null60cm;81.166;37.618;115.676;614.691;34.691;
BOB_05-704SM2584T3empfohlen60cm;<DL;24.072;79.634;630.161;20.827;
BOB_05-704SM2584T3ueblich60cm;<DL;26.068;74.736;512.245;17.251;
BOB_06-704SM258472T3empfohlen30cm;<DL;38.368;251.017;609.202;32.195;
BOB_06-704SM258472T3ueblich30cm;81.765;47.582;288.685;709.455;77.328;
BOB_09-704SM258472T3null30cm;<DL;27.152;164.548;577.919;37.807;
BOB_09-704SM258472T3null60cm;<DL;28.755;239.833;644.758;36.639;
BOB_05-705SM258479T1null30cm;121.691;62.273;216.077;711.248;44.746;
BOB_05-705SM258479T1ueblich60cm;23.214;36.941;10.155;426.344;28.842;
BOB_06-705SM258479T1empfohlen30cm;115.831;69.632;272.346;970.628;45.356;
BOB_06-705SM258479T1null60cm;150.051;33.809;120.409;520.081;28.296;
BOB_09-705SM258479T1empfohlen60cm;96.899;40.116;131.073;467.703;4.569;
BOB_09-705SM258479T1ueblich30cm;22.284;6.308;384.736;713.168;48.956;
BOB_05-705SM258479T2null30cm;<DL;40.441;230.684;572.471;41.902;
BOB_05-705SM258479T2ueblich60cm;180.567;33.884;77.324;99.472;28.656;
BOB_06-705SM258479T2empfohlen30cm;<DL;99.534;331.569;674.607;45.959;
BOB_06-705SM258479T2null60cm;72.201;4.528;111.035;473.841;3.072;
BOB_09-705SM258479T2empfohlen60cm;<DL;58.074;142.501;299.313;23.057;
BOB_09-705SM258479T2ueblich30cm;277.633;61.252;328.914;571.544;68.758;
BOB_05-705SM258479T3empfohlen30cm;<DL;71.503;252.636;793.627;26.706;
BOB_05-705SM258479T3ueblich60cm;11.607;28.323;80.535;586.087;15.115;
BOB_06- 705SM258479T3ueblich30cm;286.121;54.487;330.782;671.324;36.184;
BOB_06-705SM258479T3empfohlen60cm;<DL;6.935;152.412;506.583;19.215;
BOB_09- 705SM258479T3null60cm;92.121;2.613;83.343;610.612;26.924;
BOB_09-705SM258479T3null30cm;<DL;65.217;26.854;602.635;21.423;
BOB_05-706SM254566T1null30cm;<DL;157.131;404.145;824.231;50.198;
BOB_05-706SM254566T1ueblich60cm;<DL;77.734;285.884;595.213;47.849;
BOB_06-706SM254566T1empfohlen60cm;<DL;91.801;239.796;799.511;46.029;
BOB_06-706SM254566T1null60cm;<DL;81.706;165.719;725.805;31.899;
BOB_09-706SM254566T1empfohlen30cm;<DL;137.067;451.344;980.648;65.813;
BOB_09-706SM254566T1ueblich30cm;<DL;143.489;403.525;974.552;6.922;
BOB_05-706SM254566T2null30cm;<DL;179.409;429.815;60.811;58.956;
BOB_05-706SM254566T2null60cm;<DL;110.179;303.715;84.592;47.829;
BOB_06-706SM254566T2ueblich30cm;<DL;131.377;721.696;906.641;71.823;
BOB_06-706SM254566T2ueblich60cm;<DL;79.889;29.799;700.536;31.515;
BOB_09-706SM254566T2empfohlen30cm;<DL;166.659;605.255;747.967;61.786;
BOB_09-706SM254566T2empfohlen60cm;<DL;74.146;244.099;709.974;52.564;
BOB_05-706SM254566T3ueblich30cm;<DL;67.627;378.747;943.418;39.288;
BOB_05-706SM254566T3ueblich60cm;<DL;56.346;210.644;717.046;24.915;
BOB_06-706SM254566T3empfohlen60cm;<DL;87.557;278.546;858.289;57.444;
BOB_06-706SM254566T3null60cm;<DL;61.958;219.571;821.468;25.484;
BOB_09-706SM254566T3empfohlen30cm;<DL;110.721;318.283;744.717;60.922;
BOB_09-706SM254566T3null30cm;<DL;84.253;402.461;878.694;44.901;
BOB_05-707SM256034T1empfohlen30cm;<DL;39.894;201.229;522.184;27.526;
BOB_05-707SM256034T1empfohlen60cm;111.441;23.531;23.303;91.714;13.991;
BOB_05-707SM256034T1hofduenger30cm;203.342;55.012;15.601;501.925;49.365;
