id_lysi,date,volume,PN
2,2024-12-31,9.09,2024_PN09
3,2024-12-31,7.88,2024_PN09
4,2024-12-31,10.18,2024_PN09
5,2024-12-31,11.03,2024_PN09
6,2024-12-31,10.88,2024_PN09
7,2024-12-31,9.88,2024_PN09
8,2024-12-31,10.75,2024_PN09
9,2024-12-31,11.7,2024_PN09
10,2024-12-31,11.45,2024_PN09
11,2024-12-31,13.59,2024_PN09
12,2024-12-31,11.51,2024_PN09
13,2024-12-31,11.27,2024_PN09
14,2024-12-31,13.29,2024_PN09
15,2024-12-31,13.64,2024_PN09
16,2024-12-31,12.05,2024_PN09
17,2024-12-31,13.17,2024_PN09
18,2024-12-31,13.43,2024_PN09
19,2024-12-31,11.17,2024_PN09
20,2024-12-31,12.01,2024_PN09
21,2024-12-31,12.67,2024_PN09
22,2024-12-31,10.47,2024_PN09
23,2024-12-31,11.17,2024_PN09
24,2024-12-31,10.5,2024_PN09
25,2024-12-31,10.58,2024_PN09
26,2024-12-31,10.06,2024_PN09
27,2024-12-31,10.41,2024_PN09
28,2024-12-31,10.46,2024_PN09
29,2024-12-31,10.48,2024_PN09
30,2024-12-31,10.93,2024_PN09
31,2024-12-31,12.36,2024_PN09
32,2024-12-31,10.84,2024_PN09
1,2025-01-07,16.1,2025_PN00
2,2025-01-07,19.01,2025_PN00
3,2025-01-07,14.93,2025_PN00
4,2025-01-07,22.12,2025_PN00
5,2025-01-07,18.53,2025_PN00
6,2025-01-07,17.45,2025_PN00
7,2025-01-07,12.58,2025_PN00
8,2025-01-07,14.02,2025_PN00
9,2025-01-07,15.77,2025_PN00
10,2025-01-07,15.23,2025_PN00
11,2025-01-07,19.73,2025_PN00
12,2025-01-07,20.21,2025_PN00
13,2025-01-07,18.7,2025_PN00
14,2025-01-07,22.6,2025_PN00
15,2025-01-07,22.16,2025_PN00
16,2025-01-07,19.61,2025_PN00
17,2025-01-07,17.87,2025_PN00
18,2025-01-07,17.52,2025_PN00
19,2025-01-07,16.32,2025_PN00
20,2025-01-07,15.27,2025_PN00
21,2025-01-07,22.58,2025_PN00
22,2025-01-07,17.55,2025_PN00
23,2025-01-07,19.49,2025_PN00
24,2025-01-07,19.05,2025_PN00
25,2025-01-07,17.77,2025_PN00
26,2025-01-07,17.41,2025_PN00
27,2025-01-07,16.37,2025_PN00
28,2025-01-07,16.37,2025_PN00
29,2025-01-07,18.81,2025_PN00
30,2025-01-07,17.68,2025_PN00
31,2025-01-07,20.52,2025_PN00
32,2025-01-07,19.26,2025_PN00
1,2025-01-14,5.03,2025_PN01
2,2025-01-14,8.08,2025_PN01
3,2025-01-14,4.84,2025_PN01
4,2025-01-14,6.3,2025_PN01
5,2025-01-14,6.28,2025_PN01
6,2025-01-14,6.6,2025_PN01
7,2025-01-14,4.61,2025_PN01
8,2025-01-14,6.03,2025_PN01
9,2025-01-14,6.02,2025_PN01
10,2025-01-14,6.46,2025_PN01
11,2025-01-14,6.42,2025_PN01
12,2025-01-14,5.98,2025_PN01
13,2025-01-14,6.32,2025_PN01
14,2025-01-14,6.56,2025_PN01
15,2025-01-14,6.07,2025_PN01
16,2025-01-14,6.75,2025_PN01
17,2025-01-14,6.81,2025_PN01
18,2025-01-14,7.83,2025_PN01
19,2025-01-14,6.78,2025_PN01
20,2025-01-14,7.41,2025_PN01
21,2025-01-14,6.35,2025_PN01
22,2025-01-14,6.45,2025_PN01
23,2025-01-14,6.5,2025_PN01
24,2025-01-14,6.42,2025_PN01
25,2025-01-14,6.5,2025_PN01
26,2025-01-14,6.67,2025_PN01
27,2025-01-14,6.22,2025_PN01
28,2025-01-14,6.05,2025_PN01
29,2025-01-14,5.78,2025_PN01
30,2025-01-14,5.8,2025_PN01
31,2025-01-14,6.24,2025_PN01
32,2025-01-14,5.64,2025_PN01
1,2025-01-28,10.98,2025_PN02
2,2025-01-28,10.67,2025_PN02
3,2025-01-28,9.12,2025_PN02
4,2025-01-28,11.1,2025_PN02
5,2025-01-28,12.22,2025_PN02
6,2025-01-28,10.78,2025_PN02
7,2025-01-28,9.38,2025_PN02
8,2025-01-28,10.46,2025_PN02
9,2025-01-28,11.87,2025_PN02
10,2025-01-28,11.03,2025_PN02
11,2025-01-28,10.95,2025_PN02
12,2025-01-28,10.92,2025_PN02
13,2025-01-28,11.86,2025_PN02
14,2025-01-28,11.36,2025_PN02
15,2025-01-28,10.93,2025_PN02
16,2025-01-28,11.34,2025_PN02
17,2025-01-28,11.18,2025_PN02
18,2025-01-28,12.37,2025_PN02
19,2025-01-28,12.07,2025_PN02
20,2025-01-28,12.08,2025_PN02
21,2025-01-28,12.01,2025_PN02
22,2025-01-28,10.68,2025_PN02
23,2025-01-28,11.84,2025_PN02
24,2025-01-28,11.24,2025_PN02
25,2025-01-28,11.55,2025_PN02
26,2025-01-28,10.73,2025_PN02
27,2025-01-28,10.63,2025_PN02
28,2025-01-28,10.85,2025_PN02
29,2025-01-28,11.32,2025_PN02
30,2025-01-28,11.21,2025_PN02
31,2025-01-28,12.38,2025_PN02
32,2025-01-28,10.89,2025_PN02
1,2025-02-11,2.92,2025_PN03
2,2025-02-11,4.57,2025_PN03
3,2025-02-11,1.54,2025_PN03
4,2025-02-11,4.26,2025_PN03
5,2025-02-11,3.86,2025_PN03
6,2025-02-11,4.05,2025_PN03
7,2025-02-11,1.42,2025_PN03
8,2025-02-11,4.69,2025_PN03
9,2025-02-11,4.05,2025_PN03
10,2025-02-11,5,2025_PN03
11,2025-02-11,3.97,2025_PN03
12,2025-02-11,4.89,2025_PN03
13,2025-02-11,4.08,2025_PN03
14,2025-02-11,4.75,2025_PN03
15,2025-02-11,4.1,2025_PN03
16,2025-02-11,4.63,2025_PN03
17,2025-02-11,4.35,2025_PN03
18,2025-02-11,3.91,2025_PN03
19,2025-02-11,3.98,2025_PN03
20,2025-02-11,5.11,2025_PN03
21,2025-02-11,3.98,2025_PN03
22,2025-02-11,4.22,2025_PN03
23,2025-02-11,4.13,2025_PN03
24,2025-02-11,4.82,2025_PN03
25,2025-02-11,4.28,2025_PN03
26,2025-02-11,4.77,2025_PN03
27,2025-02-11,4.07,2025_PN03
28,2025-02-11,4.56,2025_PN03
29,2025-02-11,3.38,2025_PN03
30,2025-02-11,4.25,2025_PN03
31,2025-02-11,3.36,2025_PN03
32,2025-02-11,3.55,2025_PN03
1,2025-02-25,5.56,2025_PN04
2,2025-02-25,5.91,2025_PN04
3,2025-02-25,3.31,2025_PN04
4,2025-02-25,5.94,2025_PN04
5,2025-02-25,5.7,2025_PN04
6,2025-02-25,5.31,2025_PN04
7,2025-02-25,3.02,2025_PN04
8,2025-02-25,5.66,2025_PN04
9,2025-02-25,5.99,2025_PN04
10,2025-02-25,6.02,2025_PN04
11,2025-02-25,5.38,2025_PN04
12,2025-02-25,6.02,2025_PN04
13,2025-02-25,5.87,2025_PN04
14,2025-02-25,5.97,2025_PN04
15,2025-02-25,5.93,2025_PN04
16,2025-02-25,5.97,2025_PN04
17,2025-02-25,5.53,2025_PN04
18,2025-02-25,6.14,2025_PN04
19,2025-02-25,5.93,2025_PN04
20,2025-02-25,6.12,2025_PN04
21,2025-02-25,6.05,2025_PN04
22,2025-02-25,5.41,2025_PN04
23,2025-02-25,6.01,2025_PN04
24,2025-02-25,5.98,2025_PN04
25,2025-02-25,5.87,2025_PN04
26,2025-02-25,5.94,2025_PN04
27,2025-02-25,5.17,2025_PN04
28,2025-02-25,5.88,2025_PN04
29,2025-02-25,5.56,2025_PN04
30,2025-02-25,5.93,2025_PN04
31,2025-02-25,5.99,2025_PN04
32,2025-02-25,5.46,2025_PN04
1,2025-03-11,1.14,2025_PN05
2,2025-03-11,0.87,2025_PN05
3,2025-03-11,0,2025_PN05
4,2025-03-11,0.72,2025_PN05
5,2025-03-11,1.27,2025_PN05
6,2025-03-11,0.81,2025_PN05
7,2025-03-11,0,2025_PN05
8,2025-03-11,0.67,2025_PN05
9,2025-03-11,1.42,2025_PN05
10,2025-03-11,0.93,2025_PN05
11,2025-03-11,1.39,2025_PN05
12,2025-03-11,0.91,2025_PN05
13,2025-03-11,1.33,2025_PN05
14,2025-03-11,0.85,2025_PN05
15,2025-03-11,1.31,2025_PN05
16,2025-03-11,0.88,2025_PN05
17,2025-03-11,1.39,2025_PN05
18,2025-03-11,0.87,2025_PN05
19,2025-03-11,1.29,2025_PN05
20,2025-03-11,0.84,2025_PN05
21,2025-03-11,1.32,2025_PN05
22,2025-03-11,0.8,2025_PN05
23,2025-03-11,1.32,2025_PN05
24,2025-03-11,1.02,2025_PN05
25,2025-03-11,1.3,2025_PN05
26,2025-03-11,0.73,2025_PN05
27,2025-03-11,1.27,2025_PN05
28,2025-03-11,0.88,2025_PN05
29,2025-03-11,1.15,2025_PN05
30,2025-03-11,1.03,2025_PN05
31,2025-03-11,1.19,2025_PN05
32,2025-03-11,0.73,2025_PN05
1,2025-03-25,0.82,2025_PN06
2,2025-03-25,0.0600000000000001,2025_PN06
3,2025-03-25,0.01,2025_PN06
4,2025-03-25,0.23,2025_PN06
5,2025-03-25,0.82,2025_PN06
