id_lysi,date,N2O_flux,CO2_flux,CH4_flux,r2_N2O,r2_CO2,r2_CH4,chamber_size,nr_bags
21,2025-04-09,-1.1132478568940204e-4,40.5508660656795,-0.00446324352743857,0.1281476959948427,0.9978503737522064,0.9823111011480394,small,4
22,2025-04-09,-5.1034735040964536e-5,16.32348349184725,-0.00200891320215966,0.4027914668199682,0.9744202773793056,0.958727573369379,small,4
23,2025-04-09,-1.2837848674344366e-4,39.149465264031946,-0.00940946465063063,0.1469836431693202,0.973351040943196,0.7340159775108325,small,4
24,2025-04-09,1.57915020022956e-5,23.5661309463071,-0.00242604625142471,0.1432374099444673,0.9798058189108304,0.9813718609997184,small,4
25,2025-04-09,-5.8322738415340946e-5,25.84617623845325,-0.00299233400038468,0.3238915615228173,0.9595183376530984,0.7974114509403585,small,4
26,2025-04-09,-5.8893689116238147e-5,15.71713335006298,-0.00266215755234881,0.06802575470328176,0.5322787053942978,0.575077785117218,small,4
27,2025-04-09,8.22467681562635e-4,28.3151502825158,-0.00306398135004148,0.7484417169992705,0.9967142279588406,0.9571051879995524,small,4
28,2025-04-09,-2.72074104984505e-4,14.08863306082115,-0.0010174643383721,0.6222173486825425,0.9844184711574384,0.411935711837361,small,4
29,2025-04-09,9.1586457178017e-4,32.79604255289735,-0.00302726199202009,0.8568135274799076,0.987029859252327,0.9978575664217164,small,4
30,2025-04-09,3.2816828014887e-4,16.607451227545198,-0.00325696079671954,0.9247218631402354,0.9983115977345176,0.884126922561561,small,4
31,2025-04-09,2.4416206773394e-4,36.75400237160745,-7.57117413303295e-4,0.6024515031714774,0.8372268526562126,0.20757299697836432,small,4
32,2025-04-09,-1.7144924902108e-4,28.459288075512347,-0.00343486644665987,0.72060661038288,0.9998081936048584,0.958689222101881,small,4
1,2025-04-15,1.5736724141298e-4,23.28955426317805,-0.00119733709063091,0.186021635173956,0.9574741378131164,0.49526102269616373,small,4
2,2025-04-15,1.939362866481e-4,12.934231598168,-0.00231645630662461,0.402289211298232,0.994636683974877,0.980806912593475,small,4
3,2025-04-15,1.4362086807172356e-4,21.56432931159405,-0.00276633218805281,0.45561206796145554,0.995734917550646,0.9850232388142084,small,4
4,2025-04-15,-5.493085477952749e-4,9.629523013698446,-0.00154849882235692,0.442892400173725,0.8920282997927145,0.9671521573599275,small,4
5,2025-04-15,1.53328996578885e-4,14.3616480633679,-0.00143658121979984,0.248691307155045,0.936083939743272,0.9455833459120352,small,4
6,2025-04-15,1.1069452010624778e-4,7.102964919401635,-0.00169421894029185,0.0808366321931289,0.989382231440477,0.974318748900023,small,4
7,2025-04-15,-8.25810248052562e-5,21.778717291316248,-0.00279876622236135,0.18733860600275248,0.993798665279161,0.9980472828739224,small,4
8,2025-04-15,4.7557237973378495e-4,12.5069463163447,-3.039070215174e-4,0.8244413166696329,0.947787947114818,0.54915602870032,small,4
9,2025-04-15,-2.2195598197376e-4,17.8848793519314,-0.00188354976202576,0.557435463207967,0.976047084870438,0.9684800719107116,small,4
10,2025-04-15,-6.977822329413349e-4,29.5201748797112,-0.00192779348794328,0.8961105274991235,0.9303417642390576,0.4488953545323403,small,4
11,2025-04-15,4.975400739612e-4,23.3902398581406,-0.00228303883584109,0.841579356508319,0.998305944561479,0.991062702398772,small,4
12,2025-04-15,1.363334290006475e-5,11.54807311514525,-0.00128929722703821,0.19361167681798425,0.9719809242967716,0.9228658268539508,small,4
13,2025-04-15,-1.50725037854505e-4,24.7636270508659,-0.00201856929615071,0.1094202100576136,0.9967746656287064,0.9821060600077416,small,4
14,2025-04-15,-1.2762698083909998e-4,11.4889771878504,-0.00181118907114708,0.197864316084585,0.9098686398401026,0.8449783218410449,small,4
15,2025-04-15,-3.6020184634149e-4,20.9944690317295,-0.00356427491232388,0.9659431542211596,0.9803709377698966,0.9684793427869725,small,4
16,2025-04-15,2.0952008546268e-4,13.7361247924232,1.7591051760651e-4,0.20921997867989464,0.9730029519202624,0.36947999684349814,small,4
17,2025-04-15,-1.26120519512665e-4,16.89505458123605,-0.00193108427333146,0.2747261785490055,0.9985454134359364,0.985213356971634,small,4
18,2025-04-15,1.0448873424183452e-4,10.31904511019907,3.92060790956549e-5,0.2258354347908026,0.7255086024390855,0.637677270810191,small,4
19,2025-04-15,-1.5699805656475e-4,11.95449320162817,-0.00283035673508013,0.8132535699270109,0.504103275133839,0.7687544758264551,small,4
20,2025-04-15,1.5600846853300124e-5,16.9336713538918,-0.00251072252697521,0.00745093652370749,0.99737403434881,0.987561493878273,small,4
21,2025-04-15,-2.6716324049446e-4,19.7951850106209,-0.00188589932591318,0.684117121587012,0.988564774503974,0.989056538643351,small,4
22,2025-04-15,-1.2791019607539e-4,18.5207995461738,-0.00394623386568936,0.140853633692624,0.984796772598093,0.976700442633917,small,4
23,2025-04-15,-8.17976582803742e-5,25.514034274629452,-0.00172848133928409,0.19231906201288523,0.925563392760461,0.321972292784498,small,4
24,2025-04-15,3.2644515468857e-4,9.05452988478071,-0.00255300612126265,0.451173724801981,0.925955968726038,0.998787585045108,small,4
25,2025-04-15,-2.4234459266644e-4,32.9082159231584,-0.00365932280329448,0.420208336805869,0.957763308472615,0.957240952040819,small,4
26,2025-04-15,-1.417480735388401e-6,29.2298274218065,-0.00553751448555142,0.13298986160783022,0.996677202074246,0.883392943197151,small,4
27,2025-04-15,7.94479325222e-5,17.069187182283997,-0.00233077413315881,0.649287780551248,0.963836978536829,0.971084874733236,small,4
28,2025-04-15,4.8873447074415e-4,17.759205711532,-0.00239103364112089,0.880706492998584,0.973379473610605,0.954022757461083,small,4
29,2025-04-15,-1.943453024346435e-5,15.0441178459246,-6.353946471572851e-4,0.00851498192054688,0.8567520844903455,0.6049486734610074,small,4
30,2025-04-15,2.8239402809580015e-5,10.411379320096144,-0.00562618613951907,0.198038454964868,0.866744052248977,0.725809708051136,small,4
31,2025-04-15,5.64538760489282e-5,38.5248760446736,-0.00124548457417956,0.01591806840144,0.997938121774013,0.68141440089893,small,4
32,2025-04-15,-2.7829227057963e-4,24.4460766312216,-0.00280374216197213,0.525679469270328,0.998460512626988,0.985738182401929,small,4
1,2025-04-16,9.06386624232482e-5,12.303639187104949,-0.00351331244543845,0.2151248151847154,0.614429107941322,0.6118819388801895,small,4
2,2025-04-16,2.33697405385225e-4,11.9763091251096,-6.838692549576075e-6,0.1952352271157835,0.845182624166723,9.13676762194998e-7,small,4
3,2025-04-16,-1.9239229811298e-4,18.5725179648783,-0.00273185802441196,0.24218874015366895,0.992340408012941,0.986149112447265,small,4
4,2025-04-16,-1.9600142723663144e-4,14.273675927758353,-0.00269002944688207,0.49775993483830216,0.986701406528444,0.9751463424736504,small,4
5,2025-04-16,8.47532697021154e-5,23.11965482347475,-0.00282039805456806,0.3237102127850225,0.993973533595406,0.9700685724554684,small,4
6,2025-04-16,-1.210132190825599e-4,9.475813674774066,-0.00220397388665775,0.254680350208833,0.946238188166299,0.9705031752714826,small,4
