UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha
2025_5,2025,5,B,2025-05-15,0.7556,10.375,19.4923,46.6055,3.3025,NA,0.18,2.58,1.37,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_7,2025,7,A,2025-08-07,0,4.4055,27.9011,67.6334,2.3765,NA,0.04,2.59,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_7,2025,7,A,2025-07-10,0,4.5654,17.4801,52.0358,2.88,NA,0.82,3.93,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_7,2025,7,A,2025-06-12,0,4.4079,20.1245,30.3222,2.4868,Well C3_GLS is contaminated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_7,2025,7,B,2025-09-11,0,9.3081,35.0362,80.0637,14.2523,NA,0.3,0.56,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_7,2025,7,B,2025-08-07,0,5.4832,23.4647,30.7705,2.4282,NA,0.25,1.24,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_7,2025,7,B,2025-05-15,0,5.2991,16.7065,42.0737,2.2306,NA,0.24,1.66,3.56,NA,NA,NA,NPK,NA,NA,NA,NA
2025_8,2025,8,A,2025-08-07,0,4.5338,17.2458,73.9532,3.9235,Well E2_NAG is contaminated.,0.01,1.22,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,A,2025-05-15,0,2.0321,7.8086,26.5731,1.5922,NA,0.13,2.06,0.5,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,B,2025-09-11,7.6982,8.1456,39.6886,89.5886,14.5172,NA,0.25,1.32,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,B,2025-07-10,6.493,6.728,15.1235,45.8044,5.4494,NA,0.04,3.29,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_8,2025,8,B,2025-05-15,0,4.2567,15.6643,52.4517,2.838,NA,0.15,2.79,0.73,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_9,2025,9,A,2025-09-11,21.4407,10.1751,23.5378,55.8797,11.8842,NA,0.07,0.32,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_9,2025,9,B,2025-09-11,14.8783,6.8938,26.4802,69.8383,11.6774,NA,0.19,0.33,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_9,2025,9,B,2025-07-10,8.922,5.9207,9.8275,66.3975,2.6484,NA,0.04,0.78,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_9,2025,9,B,2025-06-12,9.177,3.4257,15.2156,39.8951,2.1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
