project_sample_id;LAP;NAG;GLS;MUP;MUX;Comments
BOB_09-DEMO_4B_Null_07.08.2025;-9.18;6.1433;25.7932;65.5943;3.267;
BOB_09-DEMO_4B_Null_12.06.2025;-12.6119;1.8201;14.9928;32.9235;1.8718;
BOB_09-DEMO_5A_St.Mist;5.126;5.8185;24.1573;82.3028;12.752;
BOB_09-DEMO_5A_St.mist_07.08.2025;-10.1995;6.5952;22.3378;56.0922;5.3221;
BOB_09-DEMO_5A_St.mist_12.06.2025;4.7605;4.4506;19.4757;46.5555;4.3013;
BOB_09-DEMO_5A_st.mist_15.5.25;-4.1989;2.8324;16.3275;14.4228;1.1805;
BOB_09-DEMO_5B_St.mist_07.08.2025;-5.9375;4.8759;22.7945;63.0152;3.8175; Well D2_NAG is contaminated.
BOB_09-DEMO_7B_NPK_10.07.2025;-7.4602;3.9534;7.3817;48.425;2.367;
BOB_09-DEMO_8A_R.guelle;5.8971;7.3715;31.8903;87.7641;18.0543;
BOB_09-DEMO_8B_R.guelle_12.06.2025;-6.9619;5.3639;17.7669;50.3426;2.7211;
BOB_09-DEMO_9A_PK_12.06.2025;11.1377;5.5974;13.9819;53.758;4.5195;
BOB_09-DEMO_9A_PK_15.5.25;5.8229;4.3667;14.8081;63.0637;3.9241;
